artist_name,artist_id
Jay Sean,1226
3OH!3,1227
Akon,1228
Ashlee Simpson,1229
Christina Aguilera,1230
Michelle Branch,1231
Liz Phair,1232
Alanis Morissette,1233
Josha Daniel,1234
MGMT,1235
New Spell,1236
The Able Bodies,1237
Röyksopp,1238
teepee,1239
INTET,1240
dolorifics,1241
Sacred Animals,1242
Strath,1243
Imitating Aeroplanes,1244
Nathaniel Stewart,1245
The Bergamot,1246
Electric Shore,1247
Perttu,1248
Devin Farney,1249
KEV,1250
Bildjan,1251
Steve Angello,1252
Futurist,1253
Carl Louis,1254
Hause Plants,1255
Roosevelt,1256
Moli,1257
The Restless Age,1258
Maximum Love,1259
So So Sun,1260
Dance Yourself Clean,1261
Kirmont,1262
TOFFE,1263
East Harbor,1264
Michael Moawad,1265
Eva Simons,1266
Willy William,1267
AlunaGeorge,1268
Stefflon Don,1269
Sak Noel,1270
Edward Maya,1271
Jack Ü,1272
Heikki L,1273
Neon Dreams,1274
Famba,1275
Gesaffelstein,1276
RÜFÜS DU SOL,1277
Slushii,1278
Kehlani,1279
Cash Cash,1280
Rudimental,1281
Massari,1282
Shawn Desman,1283
FLETCHER,1284
Lo Lo,1285
Lauren Daigle,1286
Fefe Dobson,1287
LU KALA,1288
GRiZ,1289
Two Feet,1290
Lil Wayne,1291
Madcon,1292
Javiera Mena,1293
Pol Del Sur,1294
El Último Vecino,1295
Gepe,1296
Ruzzi,1297
Dapuntobeat,1298
El Guincho,1299
LOS PILOTOS,1300
Petit Biscuit,1301
Fuff,1302
L. Starz,1303
Deep Chills,1304
Rae Sremmurd,1305
Breakbot,1306
Bingo Players,1307
M.I.A.,1308
TheFatRat,1309
Elektronomia,1310
Cartoon,1311
Jetta,1312
Yall,1313
Zonoma,1314
The.madpix.project,1315
Snoop Dogg,1316
Ian Storm,1317
Jay-C,1318
Kxa,1319
Janelle Monáe,1320
Jidenna,1321
B.o.B,1322
Paolo Nutini,1323
OutKast,1324
Jeezy,1325
Big Boi,1326
Wale,1327
Future,1328
Logic,1329
SZA,1330
Mr. Pig,1331
Dillon Francis,1332
Fanvel,1333
Papa Wave,1334
SOLANO,1335
1Kilo,1336
Liu,1337
DROELOE,1338
Erasure,1339
Alphaville,1340
Frankie Goes To Hollywood,1341
Depeche Mode,1342
Roxette,1343
KVSH,1344
Jacala,1345
Sub Urban,1346
pewdiepie,1347
Blanco Brown,1348
Confetti,1349
KALEO,1350
Scotty Sire,1351
Lil Peep,1352
Timmy Trumpet,1353
Prismo,1354
Kina,1355
Bleeke,1356
Mike Vallas,1357
Silent Child,1358
Besomorph,1359
Doja Cat,1360
Thutmose,1361
Sean&Bobo,1362
True Damage,1363
Hippie Sabotage,1364
Bohnes,1365
grandson,1366
AViVA,1367
Unlike Pluto,1368
Nexy,1369
updog,1370
Jacob Tillberg,1371
8 Graves,1372
Ansel Elgort,1373
MEMBA,1374
YUNGBLUD,1375
Sangarang,1376
X Ambassadors,1377
Lil Uzi Vert,1378
Layto,1379
XYLØ,1380
Cosmo Sheldrake,1381
K CAMP,1382
Pham,1383
Joji,1384
A$AP Rocky,1385
Lil Skies,1386
Alexander Lewis,1387
girl in red,1388
Trevor Daniel,1389
French 79,1390
Four Tet,1391
Todd Terje,1392
The Divine Comedy,1393
The Cars,1394
New Order,1395
Llewellyn,1396
Shaun Cassidy,1397
Ludvig Forssell,1398
Isobel Campbell,1399
Discovery,1400
Britta Phillips,1401
Satin Jackets,1402
Lescop,1403
Run River North,1404
Freestyle,1405
Gorillaz,1406
Japan,1407
Lloyd Cole,1408
The Midnight,1409
Night Moves,1410
Jane Weaver,1411
Bryan Ferry,1412
The Books,1413
Charlotte Gainsbourg,1414
Gary Numan,1415
Jennifer Touch,1416
Baustelle,1417
Gunship,1418
Sid Luscious and The Pants,1419
Kraftwerk,1420
COMPUTER DATA,1421
Heaven 17,1422
Paradis,1423
Orchestral Manoeuvres In The Dark,1424
Chromatics,1425
Magic Sword,1426
Class Actress,1427
Yello,1428
Herbie Hancock,1429
Power Glove,1430
Phoenix,1431
Robag Wruhme,1432
Makeup And Vanity Set,1433
A Flock Of Seagulls,1434
Jóhann Jóhannsson,1435
Luscious-235,1436
Mitch Murder,1437
Josh Rouse,1438
Christine and the Queens,1439
Baxter Dury,1440
Carpenter Brut,1441
Perturbator,1442
Stars,1443
Sonic Mayhem,1444
Sébastien Tellier,1445
M|O|O|N,1446
Friendly Fires,1447
Lorn,1448
Com Truise,1449
Arcis,1450
Nightstop,1451
Lost Years,1452
Róisín Murphy,1453
Aphex Twin,1454
YELLOW MAGIC ORCHESTRA,1455
Goldfrapp,1456
Loom:ngs,1457
Ryuichi Sakamoto,1458
Simian Mobile Disco,1459
Laura Marling,1460
Soft Metals,1461
The Decemberists,1462
Paul Haslinger,1463
Hajk,1464
LCD Soundsystem,1465
Sebastian Ingrosso,1466
